company_name,business_address,phone_number,website_url,business_description,naics_code,industry_description,data_quality_score,source_attribution
Internet Service Provider Company 1,"100 Main Street, United States",(555) 100-1000,https://www.internetserviceprovider1.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,0.8,demo_data
Internet Service Provider Company 2,"110 Main Street, United States",(555) 110-1100,https://www.internetserviceprovider2.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,0.9,demo_data
Internet Service Provider Company 3,"120 Main Street, United States",(555) 120-1200,https://www.internetserviceprovider3.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,1.0,demo_data
Internet Service Provider Company 4,"130 Main Street, United States",(555) 130-1300,https://www.internetserviceprovider4.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,0.8,demo_data
Internet Service Provider Company 5,"140 Main Street, United States",(555) 140-1400,https://www.internetserviceprovider5.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,0.9,demo_data
Internet Service Provider Company 6,"150 Main Street, United States",(555) 150-1500,https://www.internetserviceprovider6.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,1.0,demo_data
Internet Service Provider Company 7,"160 Main Street, United States",(555) 160-1600,https://www.internetserviceprovider7.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,0.8,demo_data
Internet Service Provider Company 8,"170 Main Street, United States",(555) 170-1700,https://www.internetserviceprovider8.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,0.9,demo_data
Internet Service Provider Company 9,"180 Main Street, United States",(555) 180-1800,https://www.internetserviceprovider9.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,1.0,demo_data
Internet Service Provider Company 10,"190 Main Street, United States",(555) 190-1900,https://www.internetserviceprovider10.com,Professional Internet Service Provider services in United States,999999,Internet Service Provider Services,0.8,demo_data
